feature,coefficient
sarcasm_markers,0.8543275314157598
sent_length,-0.7995227198230582
profanity_count,0.2459682007764912
polarity,-0.23414580500006077
pronoun_count,-0.10883760904168369
dep_depth,-0.09795076889410867
avg_token_length,-0.09464634678841236
contrast_count,-0.09068963476923107
emotion_intensity,-0.07249221782831529
emotion_diversity,0.06306956876874728
emotional_conflict,0.060640077121865456
type_token_ratio,0.05796332224392237
verb_count,0.048572623962886516
intensity_count,-0.043816651354536204
uncertainty_count,-0.04370460552518753
modal_count,0.04016838981757534
exclamation_count,0.03992009309867501
negation_count,-0.03259059174670258
allcaps_ratio,0.023984953142290533
hedge_count,-0.0037723110213320147
is_question,-0.0031413094820976657
clause_count,0.0030621495977398256
